observation_date,GDPC1_PCH
2000,4.07759
2001,0.95554
2002,1.70044
2003,2.79561
2004,3.84777
2005,3.48355
2006,2.78453
2007,2.00386
2008,0.11358
2009,-2.5765
2010,2.69519
2011,1.56441
2012,2.28911
2013,2.11783
2014,2.52382
